title,labels,body
"EPIC: Multi-provider AI integration for notebook assistance","epic,ai,backend,enhancement","Problem: Need pluggable support for cloud and local LLMs. Goal: Unified API for provider calls with robust errors and retries. Scope: interface, adapters, settings, integration tests. Acceptance: one cloud provider + Ollama, swappable provider architecture, standardized user-facing errors."
"EPIC: Dataset import, cleaning, and analysis assistance","epic,ai,data,enhancement","Problem: Users need guided analysis from raw data to insight. Goal: AI assists import, cleaning, and Julia code generation with safe apply flow. Scope: import assistant, cleaning widgets/modules, analysis suggestions. Acceptance: guided import, cleaning workflows, preview-before-apply code path."
"EPIC: Sidebar quick actions and guided help modes","epic,ai,frontend,enhancement","Problem: Frequent notebook actions are too manual. Goal: Add fast UI actions and per-interaction help controls. Scope: sidebar, keyboard shortcuts, help mode semantics and persistence. Acceptance: context-aware actions, visible help mode for each request, persistent settings."
"EPIC: Trust, observability, reproducibility, and export","epic,ai,security,enhancement","Problem: AI features require safety and reproducibility guarantees. Goal: Add redaction, provenance metadata, usage metrics, and export support. Scope: telemetry, policy checks, exports, docs. Acceptance: redaction applied, provenance saved, multi-format export working."
"Define AI provider interface and response schema","ai,backend,enhancement","Create typed provider interfaces for completion, streaming, and code generation. Add structured response schema with validation and standard error taxonomy. Include unit tests for valid and invalid payloads."
"Implement Ollama adapter with model configuration","ai,backend,enhancement","Implement local Ollama adapter with configurable host, model, timeout, and retry behavior. Map transport and model errors into the standardized error taxonomy. Add integration tests with mocked responses."
"Implement cloud provider adapter with secure key handling","ai,backend,security,enhancement","Implement first cloud adapter with secure API key handling, retry strategy, and rate limit handling. Ensure secrets are never logged. Add tests for auth and quota failure paths."
"Build notebook context assembler for prompt generation","ai,backend,enhancement","Assemble notebook-aware prompt context including user intent, recent outputs, and dataset profile summary. Enforce size limits and truncation/summarization rules for large context windows."
"Add dataset profiling engine for schema and quality summary","ai,data,backend,enhancement","Implement lightweight dataset profiling with columns, types, missingness, uniqueness, and basic stats. Provide serialized summary for prompt inputs and sidebar recommendations."
"Create prompt templates for import, cleaning, and EDA","ai,backend,enhancement,testing","Create versioned prompt templates for import help, cleaning help, EDA suggestions, and visualization ideas. Add deterministic tests for template assembly and output sections."
"Build AI assistant panel with streaming responses","ai,frontend,enhancement","Build UI panel for assistant interactions with streamed responses, loading/error states, and cancellation support. Ensure model and help mode are visible for each message cycle."
"Add per-interaction help mode selector","ai,frontend,enhancement","Add modes for advice-only, explain-first, code-generation, and guided-step-by-step. Persist default mode while allowing per-request override in UI."
"Implement code preview and apply confirmation flow","ai,frontend,security,enhancement","Implement diff/preview step for generated Julia code and require explicit user confirmation before insertion/execution. Store provenance metadata for each applied suggestion."
"Build dataset import wizard for common formats","data,frontend,backend,enhancement","Create dataset import wizard supporting CSV, TSV, Parquet, Arrow, and JSON with options for delimiter, encoding, and schema inference. Generate robust Julia import code."
"Implement cleaning module for missing values and type normalization","data,backend,enhancement","Implement reusable cleaning actions for null handling and type normalization with explicit assumptions. Include reversible operation metadata for undo support."
"Implement cleaning widgets for duplicates, strings, and dates","data,frontend,enhancement","Build UI widgets for duplicate handling, string normalization, and date parsing. Each widget should generate Julia transformation snippets and support chained usage."
"Build sidebar quick actions and action registry","frontend,enhancement","Build context-aware sidebar with common actions such as Load Data, Profile Data, Clean Data, Plot Suggestions, and Export. Add action registry for extensibility."
"Add keyboard shortcuts for common workflow actions","frontend,enhancement","Add keyboard shortcuts for high-frequency actions and surface shortcut hints in UI. Include conflict checks and accessibility considerations."
"Add export pipeline for HTML, Markdown, CSV, and report bundle","backend,data,enhancement","Implement export actions for notebook outputs and derived artifacts in HTML, Markdown, and CSV plus a reproducible report bundle format."
"Add telemetry with redaction and usage metrics","backend,security,enhancement","Add telemetry events for latency, token usage, error rates, and model/provider mix. Redact sensitive values prior to persistence or transmission."
"Security pass for prompt injection and unsafe code suggestions","security,ai,enhancement","Add baseline checks to detect suspicious prompt instructions and potentially unsafe generated code patterns. Surface clear warnings and require explicit approval gates."
"End-to-end tests for import-clean-analyze workflow","testing,ai,data,frontend,backend","Create deterministic e2e coverage for the workflow: import dataset, profile, cleaning suggestions, code generation, preview, apply, and export."
"Documentation and onboarding notebooks for AI features","documentation,ai,enhancement","Create user docs and onboarding notebooks for provider setup, data import, cleaning workflows, and safe AI usage. Add troubleshooting and known limitations."